,Accession
0,AB049811
1,AB050905
2,AB050906
3,AB050907
4,AB050908
5,AB050909
6,AB050910
7,AB050911
8,AB050912
9,AB050913
10,AB050914
11,AB050915
12,AB050916
13,AB050917
14,AB050918
15,AB050919
16,AB050920
17,AB050921
18,AB050922
19,AB050923
20,AB050924
21,AB050925
22,AB050926
23,AB050927
24,AB050928
25,AB050929
26,AB050930
27,AB050931
28,AB050932
29,AB052867
30,AB081151
31,AB081152
32,AB081153
33,AB081154
34,AB081155
35,AB081156
36,AB081157
37,AB081158
38,AB081159
39,AB081160
40,AB081161
41,AB081162
42,AB081163
43,AB081164
44,AB081165
45,AB081166
46,AB081167
47,AB081168
48,AB081169
49,AB081170
50,AB081171
51,AB081172
52,AB081173
53,AB081174
54,AB081175
55,AB081176
56,AB081177
57,AB081178
58,AB081179
59,AB081180
60,AB081181
61,AB081182
62,AB081183
63,AB081184
64,AB081185
65,AB081186
66,AB081187
67,AB081188
68,AB081189
69,AB081190
70,AB081191
71,AB081192
72,AB081193
73,AB081194
74,AB081195
75,AB081196
76,AB081197
77,AB081198
78,AB081199
79,AB081200
80,AB081201
81,AB081202
82,AB081203
83,AB081204
84,AB081205
85,AB081206
86,AB081207
87,AB081208
88,AB081209
89,AB081210
90,AB081211
91,AB081212
92,AB081213
93,AB081214
94,AB081215
95,AB081216
96,AB081217
97,AB081218
98,AB081219
99,AB081220
100,AB081221
101,AB081222
102,AB081223
103,AB081224
104,AB081225
105,AB081226
106,AB081227
107,AB081228
108,AB081229
109,AB081230
110,AB081231
111,AB081232
112,AB081233
113,AB081234
114,AB081235
115,AB081236
116,AB081237
117,AB081238
118,AB081239
119,AB081240
120,AB081241
121,AB081242
122,AB081243
123,AB081244
124,AB081245
125,AB081246
126,AB081247
127,AB081248
128,AB081249
129,AB081250
130,AB081251
131,AB081252
132,AB081253
133,AB081254
134,AB081255
135,AB081256
136,AB081257
137,AB081258
138,AB081259
139,AB098330
140,AB098331
141,AB098332
142,AB098333
143,AB187525
144,AB187526
145,AB187527
146,AB187528
147,AB187529
148,AB187530
149,AB187531
150,AB187532
151,AB187533
152,AB187534
153,AB187535
154,AB187536
155,AB187537
156,AB187538
157,AB187539
158,AB187540
159,AB187541
160,AB187542
161,AB187543
162,AB187544
163,AB187545
164,AB187546
165,AB187547
166,AB187548
167,AB187549
168,AB187550
169,AB187551
170,AB187552
171,AB187553
172,AB187554
173,AB187555
174,AB187556
175,AB187557
176,AB187558
177,AB187559
178,AB187560
179,AB187561
180,AB187562
181,AB187563
182,AB191525
183,AB191526
184,AB191527
185,AB191528
186,AB191529
187,AB191530
188,AB191531
189,AB191532
190,AB191534
191,AB191535
192,AB191536
193,AB191537
194,AB191538
195,AB191539
196,AB191540
197,AB191541
198,AB191542
199,AB191543
200,AB191544
201,AB191545
202,AB191546
203,AB191547
204,AB191548
205,AB191549
206,AB191550
207,AB191551
208,AB191552
209,AB191553
210,AB191554
211,AB191555
212,AB191556
213,AB191557
214,AB191558
215,AB191559
216,AB191560
217,AB191561
218,AB191562
219,AB191563
220,AB191565
221,AB191566
222,AB191567
223,AB191568
224,AB191569
225,AB191570
226,AB191571
227,AB191572
228,AB191573
229,AB191574
230,AB191575
231,AB191576
232,AB191577
233,AB191578
234,AB191579
235,AB191580
236,AB191581
237,AB191582
238,AB191583
239,AB191584
240,AB191585
241,AB191586
242,AB191587
243,AB191588
244,AB191589
245,AB191590
246,AB191591
247,AB191592
248,AB191593
249,AB191594
250,AB191595
251,AB191596
252,AB191597
253,AB191598
254,AB191599
255,AB191600
256,AB191601
257,AB191602
258,AB191603
259,AB191604
260,AB191605
261,AB191606
262,AB191607
263,AB191608
264,AB191609
265,AB191610
266,AB191611
267,AB191612
268,AB191613
269,AB191614
270,AB191615
271,AB191616
272,AB191617
273,AB191618
274,AB191619
275,AB191620
276,AB191621
277,AB191622
278,AB191623
279,AB191624
280,AB191625
281,AB191626
282,AB191627
283,AB191628
284,AB191629
285,AB191630
286,AB191631
287,AB191632
288,AB191633
289,AB191634
290,AB191635
291,AB191636
292,AB191637
293,AB191638
294,AB191639
295,AB191640
296,AB191641
297,AB191642
298,AB191643
299,AB191644
300,AB191645
301,AB191646
302,AB191647
303,AB191648
304,AB191649
305,AB191650
306,AB191651
307,AB191652
308,AB191653
309,AB191654
310,AB191655
311,AB191656
312,AB191657
313,AB191658
314,AB191659
315,AB191660
316,AB191661
317,AB191662
318,AB191663
319,AB191665
320,AB191666
321,AB191667
322,AB191668
323,AB191669
324,AB191670
325,AB191671
326,AB191672
327,AB191673
328,AB191674
329,AB191675
330,AB191676
331,AB191677
332,AB191678
333,AB191679
334,AB191680
335,AB191681
336,AB191682
337,AB191683
338,AB191684
339,AB191685
340,AB191686
341,AB192571
342,AB192572
343,AB231893
344,AB231894
345,AB231895
346,AB231896
347,AB231897
348,AB231898
349,AB253421
350,AB253422
351,AB253428
352,AB253429
353,AB254141
354,AB254142
355,AB254143
356,AB254144
357,AB254145
358,AB254146
359,AB254147
360,AB254148
361,AB254149
362,AB254150
363,AB254151
364,AB254152
365,AB254153
366,AB254154
367,AB254155
368,AB254156
369,AB285660
370,AB285661
371,AB285662
372,AB285663
373,AB285664
374,AB285665
375,AB285666
376,AB285667
377,AB285668
378,AB285669
379,AB285670
380,AB285671
381,AB285672
382,AB285673
383,AB285674
384,AB285675
385,AB285676
386,AB285677
387,AB285678
388,AB285679
389,AB285680
390,AB285681
391,AB285682
392,AB285683
393,AB285684
394,AB285685
395,AB285686
396,AB285687
397,AB285688
398,AB285689
399,AB285690
400,AB285691
401,AB285692
402,AB285693
403,AB285694
404,AB285695
405,AB285696
406,AB285697
407,AB285698
408,AB285699
409,AB285700
410,AB285701
411,AB285702
412,AB285703
413,AB285704
414,AB285705
415,AB285706
416,AB285707
417,AB285708
418,AB285709
419,AB285710
420,AB285711
421,AB285712
422,AB285713
423,AB285714
424,AB285715
425,AB285716
426,AB285717
427,AB285718
428,AB285719
429,AB285720
430,AB285721
431,AB285722
432,AB285723
433,AB285724
434,AB285725
435,AB285726
436,AB285727
437,AB285728
438,AB285729
439,AB285730
440,AB285731
441,AB285732
442,AB285733
443,AB285734
444,AB285735
445,AB285736
446,AB285737
447,AB285738
448,AB285739
449,AB285740
450,AB285741
451,AB285742
452,AB285743
453,AB285744
454,AB285745
455,AB285746
456,AB285747
457,AB285748
458,AB285749
459,AB285750
460,AB285751
461,AB285752
462,AB285753
463,AB285754
464,AB285755
465,AB285756
466,AB285757
467,AB285758
468,AB285759
469,AB285760
470,AB285761
471,AB285762
472,AB285763
473,AB285764
474,AB285765
475,AB285766
476,AB285767
477,AB285768
478,AB285769
479,AB285770
480,AB285771
481,AB285772
482,AB285773
483,AB285774
484,AB285775
485,AB285776
486,AB285777
487,AB285778
488,AB285779
489,AB285780
490,AB285781
491,AB285782
492,AB285783
493,AB285784
494,AB285785
495,AB285786
496,AB285787
497,AB285788
498,AB285789
499,AB285790
500,AB285791
501,AB285792
502,AB285793
503,AB285794
504,AB285795
505,AB285796
506,AB285797
507,AB285798
508,AB285799
509,AB285800
510,AB285801
511,AB285802
512,AB285803
513,AB285804
514,AB285805
515,AB285806
516,AB285807
517,AB285808
518,AB285809
519,AB285810
520,AB285811
521,AB285812
522,AB285813
523,AB285814
524,AB285815
525,AB285816
526,AB285817
527,AB285818
528,AB285819
529,AB285820
530,AB285821
531,AB285822
