Country,count
SOUTH AFRICA,43527
UGANDA,34815
KENYA,26127
MALAWI,20078
CAMEROON,16873
ZAMBIA,13368
BOTSWANA,11224
TANZANIA,11086
ETHIOPIA,6155
ZIMBABWE,3430
RWANDA,2934
DEM REP OF CONGO,2933
NIGERIA,2900
GHANA,2241
MOZAMBIQUE,2119
CENTRAL AFRICAN REPUBLIC,1738
SENEGAL,1677
TOGO,1647
GUINEA-BISSAU,1394
COTE D'IVOIRE,1352
ANGOLA,1001
MOROCCO,961
BENIN,790
GABON,744
BURKINA FASO,724
ALGERIA,706
MALI,692
BURUNDI,531
CONGO,401
NIGER,327
TUNISIA,294
SIERRA LEONE,288
CHAD,276
EQUATORIAL GUINEA,250
GUINEA,244
CAPE VERDE,228
LIBERIA,221
LIBYA,148
MAURITANIA,127
SEYCHELLES,125
SWAZILAND,116
EGYPT,96
MADAGASCAR,89
DJIBOUTI,84
SUDAN,81
GAMBIA,50
REUNION,12
ERITREA,2
SOMALIA,1
