Country,0102,0102A,0102A1,0102D,0109,0113,0122F,01A1,01A1G,01ADF2,01B,01C,01D,01F1G,01F2,01F2G,01G,01U,01_AE,0206,0206A3,0206DG,0206G,0209,0211,0213,0218,0219,0222,0226,02A,02A1,02A1D,02A1F2,02A1G,02A2,02A3,02A6,02AG,02B,02C,02D,02DO,02F,02F2,02F2G,02F2U,02G,02H,02J,02K,02O,02U,02_AG,03_A6B,04_cpx,05_DF,0609,06A1,06A3,06B,06D,06G,06_cpx,09A,09A1,09A1D,09D,09G,09U,09_cpx,10_CD,1113,11A1,11A3,11AG,11B,11C,11G,11J,11U,11_cpx,124_cpx,138_cpx,13C,13U,13_cpx,14_BG,16A1,16_A2D,18A1,18A1D,18D,18G,18U,18_cpx,19_cpx,21_A2D,22A1U,22DU,22F2,22_01A1,24_BG,25_cpx,26C,26_A5U,27_cpx,35_A1D,36_cpx,37A,37_cpx,41_CD,43_02G,45C,45U,45_cpx,47_BF1,49_cpx,56_cpx,92_C2U,93_cpx,95_02B,A,A1,A1A2,A1A2C,A1A2CD,A1A2D,A1A2G,A1A3,A1A6,A1B,A1BD,A1BG,A1C,A1CD,A1CDG,A1CG,A1D,A1DG,A1DH,A1DU,A1F1,A1F2,A1G,A1GH,A1GJ,A1H,A1J,A1K,A1U,A2,A2B,A2C,A2CD,A2D,A2F,A2G,A2U,A3,A3D,A3F2,A3G,A4,A6,A7,A8,AC,ACD,ACH,ACU,AD,ADG,ADGU,ADU,AF,AF2,AF2G,AG,AGH,AGJ,AGK,AGKU,AGU,AH,AHJU,AJ,AK,AKU,AO,AU,B,BC,BCD,BD,BDF,BF,BF1,BF2,BG,C,CD,CDG,CF,CF1,CF1U,CF2,CG,CGJ,CGU,CH,CHU,CJ,CK,CU,D,DF,DF1,DF2,DG,DGC,DGU,DJ,DK,DO,DU,F,F1,F1F2,F1G,F1U,F2,F2G,F2K,F2KU,F2O,F2U,FH,FK,FKU,FU,G,GH,GHK,GJ,GJO,GK,GKU,GU,H,HJ,HU,J,JK,JKU,JU,K,KU,L,N,O,P,U
ALGERIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,7,133,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGOLA,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,2,67,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,3,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,1,0,0,27,101,5,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,15,0,0,7,0,0,3,16,0,1,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,9,0,0,0,0,0,3,0,0,0,0,0,1,4,0,0,0,1,1,0,0,0,188,0,0,0,2,0,0,1,0,0,0,0,0,0,0,61,0,0,0,2,0,0,0,0,0,0,0,103,1,0,0,1,0,0,0,0,0,0,0,0,0,93,5,0,0,0,0,0,12,87,0,10,24,0,0,1,2,0,0,0,0,0,42
BENIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,1,529,0,0,0,0,0,0,0,0,1,52,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17
BOTSWANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11138,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3
BURKINA FASO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,7,0,0,0,0,0,0,0,11,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,306,0,0,0,0,3,0,1,0,3,224,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BURUNDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,35,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMEROON,32,3,12,1,0,0,1,223,1,1,0,0,0,0,4,1,3,1,204,5,0,0,0,6,6,8,7,0,24,1,25,293,1,3,5,0,21,0,0,2,2,17,210,0,148,2,1,389,4,2,0,7,13,7693,0,0,0,0,0,0,0,0,2,26,1,2,0,0,1,0,54,0,2,21,0,4,1,0,1,9,4,402,0,1,0,6,130,2,0,0,1,0,2,0,2,97,1,0,1,1,2,256,0,14,0,1,0,0,24,2,86,0,1,0,1,14,0,0,0,0,0,0,356,1903,1,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,69,82,0,0,4,1,1,10,23,0,0,0,0,0,0,0,40,0,1,2,0,0,3,0,0,0,0,0,2,3,0,2,3,5,2,48,0,1,0,0,2,1,2,1,0,0,3,3,18,0,0,7,0,0,0,0,4,36,1,0,0,0,0,0,0,0,0,2,0,0,0,0,599,3,1,2,5,0,0,1,0,1,6,2,17,0,1,0,760,8,1,0,2,4,0,0,0,0,821,2,0,1,2,0,0,7,55,0,0,11,0,0,0,6,1,0,40,1084,5,168
CAPE VERDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
CENTRAL AFRICAN REPUBLIC,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,25,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,1,717,0,0,0,0,90,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,1,62,0,0,7,0,0,0,0,0,0,0,3,0,101
CHAD,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,34,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,24,0,0,0,0,0,0,0,31,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
