,Country,Subtype,Count
191,ALGERIA,B,302
63,ALGERIA,06_cpx,133
53,ALGERIA,02_AG,108
19,ALGERIA,0206,41
241,ALGERIA,G,17
123,ALGERIA,A1,8
62,ALGERIA,06G,7
215,ALGERIA,D,6
31,ALGERIA,02A1,2
199,ALGERIA,BG,2
70,ALGERIA,09_cpx,1
122,ALGERIA,A,1
144,ALGERIA,A1G,1
150,ALGERIA,A1U,1
151,ALGERIA,A2,1
200,ALGERIA,C,1
219,ALGERIA,DG,1
231,ALGERIA,F2,1
0,ALGERIA,0102,0
1,ALGERIA,0102A,0
2,ALGERIA,0102A1,0
3,ALGERIA,0102D,0
4,ALGERIA,0109,0
5,ALGERIA,0113,0
6,ALGERIA,0122F,0
7,ALGERIA,01A1,0
8,ALGERIA,01A1G,0
9,ALGERIA,01ADF2,0
10,ALGERIA,01B,0
11,ALGERIA,01C,0
12,ALGERIA,01D,0
13,ALGERIA,01F1G,0
14,ALGERIA,01F2,0
15,ALGERIA,01F2G,0
16,ALGERIA,01G,0
17,ALGERIA,01U,0
18,ALGERIA,01_AE,0
20,ALGERIA,0206A3,0
21,ALGERIA,0206DG,0
22,ALGERIA,0206G,0
23,ALGERIA,0209,0
24,ALGERIA,0211,0
25,ALGERIA,0213,0
26,ALGERIA,0218,0
27,ALGERIA,0219,0
28,ALGERIA,0222,0
29,ALGERIA,0226,0
30,ALGERIA,02A,0
32,ALGERIA,02A1D,0
33,ALGERIA,02A1F2,0
34,ALGERIA,02A1G,0
35,ALGERIA,02A2,0
36,ALGERIA,02A3,0
37,ALGERIA,02A6,0
38,ALGERIA,02AG,0
39,ALGERIA,02B,0
40,ALGERIA,02C,0
41,ALGERIA,02D,0
42,ALGERIA,02DO,0
43,ALGERIA,02F,0
44,ALGERIA,02F2,0
45,ALGERIA,02F2G,0
46,ALGERIA,02F2U,0
47,ALGERIA,02G,0
48,ALGERIA,02H,0
49,ALGERIA,02J,0
50,ALGERIA,02K,0
51,ALGERIA,02O,0
52,ALGERIA,02U,0
54,ALGERIA,03_A6B,0
55,ALGERIA,04_cpx,0
56,ALGERIA,05_DF,0
57,ALGERIA,0609,0
58,ALGERIA,06A1,0
59,ALGERIA,06A3,0
60,ALGERIA,06B,0
61,ALGERIA,06D,0
64,ALGERIA,09A,0
65,ALGERIA,09A1,0
66,ALGERIA,09A1D,0
67,ALGERIA,09D,0
68,ALGERIA,09G,0
69,ALGERIA,09U,0
71,ALGERIA,10_CD,0
72,ALGERIA,1113,0
73,ALGERIA,11A1,0
74,ALGERIA,11A3,0
75,ALGERIA,11AG,0
76,ALGERIA,11B,0
77,ALGERIA,11C,0
78,ALGERIA,11G,0
79,ALGERIA,11J,0
80,ALGERIA,11U,0
81,ALGERIA,11_cpx,0
82,ALGERIA,124_cpx,0
83,ALGERIA,138_cpx,0
84,ALGERIA,13C,0
85,ALGERIA,13U,0
86,ALGERIA,13_cpx,0
87,ALGERIA,14_BG,0
88,ALGERIA,16A1,0
89,ALGERIA,16_A2D,0
90,ALGERIA,18A1,0
91,ALGERIA,18A1D,0
92,ALGERIA,18D,0
93,ALGERIA,18G,0
94,ALGERIA,18U,0
95,ALGERIA,18_cpx,0
96,ALGERIA,19_cpx,0
97,ALGERIA,21_A2D,0
98,ALGERIA,22A1U,0
99,ALGERIA,22DU,0
100,ALGERIA,22F2,0
101,ALGERIA,22_01A1,0
102,ALGERIA,24_BG,0
103,ALGERIA,25_cpx,0
104,ALGERIA,26C,0
105,ALGERIA,26_A5U,0
106,ALGERIA,27_cpx,0
107,ALGERIA,35_A1D,0
108,ALGERIA,36_cpx,0
109,ALGERIA,37A,0
110,ALGERIA,37_cpx,0
111,ALGERIA,41_CD,0
112,ALGERIA,43_02G,0
113,ALGERIA,45C,0
114,ALGERIA,45U,0
115,ALGERIA,45_cpx,0
116,ALGERIA,47_BF1,0
117,ALGERIA,49_cpx,0
118,ALGERIA,56_cpx,0
119,ALGERIA,92_C2U,0
120,ALGERIA,93_cpx,0
121,ALGERIA,95_02B,0
124,ALGERIA,A1A2,0
125,ALGERIA,A1A2C,0
126,ALGERIA,A1A2CD,0
127,ALGERIA,A1A2D,0
128,ALGERIA,A1A2G,0
129,ALGERIA,A1A3,0
130,ALGERIA,A1A6,0
131,ALGERIA,A1B,0
132,ALGERIA,A1BD,0
133,ALGERIA,A1BG,0
134,ALGERIA,A1C,0
135,ALGERIA,A1CD,0
136,ALGERIA,A1CDG,0
137,ALGERIA,A1CG,0
138,ALGERIA,A1D,0
139,ALGERIA,A1DG,0
140,ALGERIA,A1DH,0
141,ALGERIA,A1DU,0
142,ALGERIA,A1F1,0
143,ALGERIA,A1F2,0
145,ALGERIA,A1GH,0
146,ALGERIA,A1GJ,0
147,ALGERIA,A1H,0
148,ALGERIA,A1J,0
149,ALGERIA,A1K,0
152,ALGERIA,A2B,0
153,ALGERIA,A2C,0
154,ALGERIA,A2CD,0
155,ALGERIA,A2D,0
156,ALGERIA,A2F,0
157,ALGERIA,A2G,0
158,ALGERIA,A2U,0
159,ALGERIA,A3,0
160,ALGERIA,A3D,0
161,ALGERIA,A3F2,0
162,ALGERIA,A3G,0
163,ALGERIA,A4,0
164,ALGERIA,A6,0
165,ALGERIA,A7,0
166,ALGERIA,A8,0
167,ALGERIA,AC,0
168,ALGERIA,ACD,0
169,ALGERIA,ACH,0
170,ALGERIA,ACU,0
171,ALGERIA,AD,0
172,ALGERIA,ADG,0
173,ALGERIA,ADGU,0
174,ALGERIA,ADU,0
175,ALGERIA,AF,0
176,ALGERIA,AF2,0
177,ALGERIA,AF2G,0
178,ALGERIA,AG,0
179,ALGERIA,AGH,0
180,ALGERIA,AGJ,0
181,ALGERIA,AGK,0
182,ALGERIA,AGKU,0
183,ALGERIA,AGU,0
184,ALGERIA,AH,0
185,ALGERIA,AHJU,0
186,ALGERIA,AJ,0
187,ALGERIA,AK,0
188,ALGERIA,AKU,0
189,ALGERIA,AO,0
190,ALGERIA,AU,0
192,ALGERIA,BC,0
